name,mask_HSP,mask_mito,mask_BRP,MB_total_fraction of HSP in Mito,MB_total_fraction of Mito in HSP,MB_total_odds_ratio,MB_total_enrichment,MB_syn_fraction of HSP in Mito,MB_syn_fraction of Mito in HSP,MB_syn_odds_ratio,MB_syn_enrichment,MB_non_syn_fraction of HSP in Mito,MB_non_syn_fraction of Mito in HSP,MB_non_syn_odds_ratio,MB_non_syn_enrichment
dec02_5x_brain1alphaprime_L,triangle,triangle,triangle,0.665,0.22,20.188,6.008,0.846,0.437,12.899,2.032,0.564,0.156,15.163,6.212
dec02_5x_brain1gamma_L,triangle,triangle,triangle,0.661,0.274,7.197,2.526,0.817,0.46,2.914,1.19,0.421,0.124,3.775,2.409
dec02_5x_brain1gamma_R,triangle,triangle,triangle,0.434,0.251,7.563,3.781,0.684,0.479,2.765,1.291,0.265,0.137,4.488,3.212
dec02_5x_brain2alphaprime_L,triangle,triangle,triangle,0.995,0.022,3.718,1.014,0.995,0.022,3.683,1.014,1.0,0.001,inf,1.439
dec02_5x_brain2gamma_L,triangle,triangle,triangle,0.717,0.005,2.363,1.384,0.478,0.012,1.993,1.512,0.72,0.005,2.386,1.386
dec02_5x_brain3alphaprime_L,triangle,triangle,triangle,0.987,0.045,5.077,1.052,0.987,0.045,5.089,1.049,0.375,0.006,0.631,0.771
dec02_5x_brain3alpha_L,triangle,triangle,triangle,0.247,0.055,3.1,2.495,0.248,0.055,3.087,2.483,0.02,0.033,3.035,2.927
dec02_5x_brain3gamma_L,triangle,triangle,triangle,0.35,0.052,2.159,1.714,0.351,0.052,2.132,1.697,0.077,0.008,1.738,1.676
dec02_5x_brain3alphaprime_R,triangle,triangle,triangle,0.933,0.062,5.583,1.288,0.933,0.062,5.538,1.284,0.66,0.016,4.684,2.232
dec02_5x_brain3alpha_R,triangle,triangle,triangle,0.359,0.101,4.377,2.946,0.359,0.101,4.371,2.942,0.0,0.0,0.0,0.0
