name,mask_HSP,mask_mito,mask_BRP,MB_total_fraction of HSP in Mito,MB_total_fraction of Mito in HSP,MB_total_odds_ratio,MB_total_enrichment,MB_syn_fraction of HSP in Mito,MB_syn_fraction of Mito in HSP,MB_syn_odds_ratio,MB_syn_enrichment,MB_non_syn_fraction of HSP in Mito,MB_non_syn_fraction of Mito in HSP,MB_non_syn_odds_ratio,MB_non_syn_enrichment
dec02_5x_brain1alphaprime_L,98,98,98,0.436,0.414,18.659,6.837,0.726,0.642,11.684,2.048,0.335,0.326,14.166,6.904
dec02_5x_brain1gamma_L,98,98,98,0.368,0.364,12.256,5.527,0.6,0.564,2.635,1.286,0.185,0.191,6.822,4.841
dec02_5x_brain1gamma_R,98,98,98,0.328,0.304,9.535,4.992,0.571,0.513,2.888,1.394,0.167,0.158,5.327,4.033
dec02_5x_brain2alphaprime_L,98,98,98,0.151,0.107,2.825,2.384,0.228,0.253,3.308,2.33,0.147,0.103,2.762,2.349
dec02_5x_brain2gamma_L,98,98,98,0.184,0.022,3.226,2.777,0.05,0.058,3.095,2.875,0.186,0.022,3.253,2.795
dec02_5x_brain3alphaprime_L,98,98,98,0.17,0.143,3.199,2.564,0.187,0.18,2.07,1.713,0.168,0.139,3.282,2.634
dec02_5x_brain3alpha_L,98,98,98,0.144,0.101,2.617,2.243,0.189,0.143,1.886,1.615,0.139,0.096,2.629,2.269
dec02_5x_brain3gamma_L,98,98,98,0.154,0.12,2.773,2.32,0.039,0.228,2.156,1.858,0.174,0.118,3.062,2.504
dec02_5x_brain3alphaprime_R,98,98,98,0.225,0.188,4.841,3.415,0.325,0.279,3.548,2.24,0.214,0.179,4.778,3.438
dec02_5x_brain3alpha_R,98,98,98,0.223,0.155,4.648,3.396,0.248,0.202,3.879,2.727,0.22,0.151,4.682,3.438
